Order Date,Ship Date,Customer,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2021-01-02,2021-01-03,Customer_250,Home Office,United States,Sample City,Sample State,West,Snacks,Snacks,Classic Namkeen 200g,36.0,1,0.1,6.67
2021-01-03,2021-01-05,Customer_996,Corporate,United States,Sample City,Sample State,South,Snacks,Snacks,Dark Chocolate Bar,576.0,9,0.2,133.87
2021-01-03,2021-01-04,Customer_332,Home Office,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Hand Sanitizer 100ml,200.0,5,0.2,51.66
2021-01-03,2021-01-04,Customer_727,Home Office,United States,Sample City,Sample State,West,Snacks,Snacks,Dark Chocolate Bar,192.0,3,0.2,61.78
2021-01-03,2021-01-05,Customer_326,Corporate,United States,Sample City,Sample State,West,Snacks,Snacks,Masala Chips 50g,76.0,4,0.05,20.31
2021-01-03,2021-01-05,Customer_437,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Herbal Shampoo 180ml,1080.0,9,0.0,184.66
2021-01-03,2021-01-04,Customer_497,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,612.0,9,0.2,170.16
2021-01-03,2021-01-04,Customer_787,Home Office,United States,Sample City,Sample State,West,Snacks,Snacks,Instant Noodles Pack,108.0,8,0.1,30.27
2021-01-03,2021-01-05,Customer_329,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Dark Chocolate Bar,532.0,7,0.05,85.65
2021-01-03,2021-01-04,Customer_897,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Dark Chocolate Bar,576.0,8,0.1,120.15
2021-01-03,2021-01-06,Customer_615,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Hand Sanitizer 100ml,50.0,1,0.0,7.88
2021-01-03,2021-01-04,Customer_145,Consumer,United States,Sample City,Sample State,West,Snacks,Snacks,Masala Chips 50g,16.0,1,0.2,5.36
2021-01-03,2021-01-04,Customer_401,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,765.0,9,0.0,254.04
2021-01-03,2021-01-04,Customer_260,Home Office,United States,Sample City,Sample State,South,Household,Household,Laundry Detergent 1kg,168.0,1,0.2,29.17
2021-01-03,2021-01-05,Customer_891,Corporate,United States,Sample City,Sample State,Central,Snacks,Snacks,Classic Namkeen 200g,228.0,6,0.05,75.81
2021-01-04,2021-01-06,Customer_884,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,153.0,2,0.1,35.13
2021-01-04,2021-01-06,Customer_858,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Herbal Shampoo 180ml,576.0,6,0.2,137.21
2021-01-04,2021-01-06,Customer_924,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Dark Chocolate Bar,576.0,9,0.2,189.11
2021-01-04,2021-01-06,Customer_982,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Instant Noodles Pack,96.0,8,0.2,19.12
2021-01-04,2021-01-07,Customer_953,Home Office,United States,Sample City,Sample State,West,Household,Household,Laundry Detergent 1kg,399.0,2,0.05,83.64
2021-01-04,2021-01-05,Customer_791,Corporate,United States,Sample City,Sample State,East,Personal Care,Personal Care,Herbal Shampoo 180ml,684.0,6,0.05,215.53
2021-01-04,2021-01-05,Customer_363,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,459.0,6,0.1,60.48
2021-01-04,2021-01-05,Customer_983,Corporate,United States,Sample City,Sample State,West,Personal Care,Personal Care,Hand Sanitizer 100ml,225.0,5,0.1,27.3
2021-01-04,2021-01-05,Customer_469,Corporate,United States,Sample City,Sample State,South,Household,Household,Laundry Detergent 1kg,1176.0,7,0.2,331.07
2021-01-04,2021-01-06,Customer_445,Consumer,United States,Sample City,Sample State,South,Household,Household,Floor Cleaner 1L,112.0,1,0.2,18.78
2021-01-04,2021-01-05,Customer_740,Corporate,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Face Wash 100ml,598.5,7,0.1,163.99
2021-01-04,2021-01-05,Customer_587,Consumer,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Face Wash 100ml,152.0,2,0.2,36.07
2021-01-04,2021-01-06,Customer_960,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,252.0,7,0.2,60.12
2021-01-04,2021-01-05,Customer_319,Consumer,United States,Sample City,Sample State,West,Snacks,Snacks,Dark Chocolate Bar,240.0,3,0.0,31.21
2021-01-04,2021-01-06,Customer_573,Consumer,United States,Sample City,Sample State,Central,Household,Household,Laundry Detergent 1kg,840.0,4,0.0,183.58
2021-01-04,2021-01-07,Customer_861,Corporate,United States,Sample City,Sample State,West,Beverages,Beverages,Mineral Water 1L,19.0,1,0.05,3.96
2021-01-04,2021-01-06,Customer_861,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Mango Juice 1L,323.0,4,0.05,53.37
2021-01-04,2021-01-07,Customer_357,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Face Wash 100ml,76.0,1,0.2,20.12
2021-01-04,2021-01-07,Customer_479,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Hand Sanitizer 100ml,160.0,4,0.2,43.09
2021-01-05,2021-01-06,Customer_267,Corporate,United States,Sample City,Sample State,South,Household,Household,Dish Wash Liquid 500ml,440.0,5,0.2,86.47
2021-01-05,2021-01-08,Customer_826,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Toothpaste 150g,150.0,2,0.0,18.54
2021-01-05,2021-01-07,Customer_600,Corporate,United States,Sample City,Sample State,West,Personal Care,Personal Care,Face Wash 100ml,171.0,2,0.1,29.15
2021-01-05,2021-01-06,Customer_860,Corporate,United States,Sample City,Sample State,South,Household,Household,Dish Wash Liquid 500ml,704.0,8,0.2,143.96
2021-01-05,2021-01-08,Customer_647,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,288.0,8,0.2,70.27
2021-01-06,2021-01-07,Customer_879,Consumer,United States,Sample City,Sample State,West,Beverages,Beverages,Mineral Water 1L,144.0,8,0.1,47.91
2021-01-06,2021-01-08,Customer_372,Consumer,United States,Sample City,Sample State,Central,Beverages,Beverages,Mineral Water 1L,140.0,7,0.0,22.34
2021-01-06,2021-01-09,Customer_276,Consumer,United States,Sample City,Sample State,West,Household,Household,Floor Cleaner 1L,1197.0,9,0.05,208.77
2021-01-06,2021-01-09,Customer_483,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Herbal Shampoo 180ml,972.0,9,0.1,329.7
2021-01-06,2021-01-07,Customer_990,Consumer,United States,Sample City,Sample State,South,Personal Care,Personal Care,Face Wash 100ml,475.0,5,0.0,82.32
2021-01-06,2021-01-07,Customer_792,Corporate,United States,Sample City,Sample State,Central,Snacks,Snacks,Instant Noodles Pack,84.0,7,0.2,24.98
2021-01-06,2021-01-09,Customer_942,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Face Wash 100ml,427.5,5,0.1,137.62
2021-01-06,2021-01-07,Customer_352,Corporate,United States,Sample City,Sample State,West,Household,Household,Laundry Detergent 1kg,1795.5,9,0.05,555.24
2021-01-06,2021-01-09,Customer_733,Corporate,United States,Sample City,Sample State,East,Beverages,Beverages,Mineral Water 1L,152.0,8,0.05,30.27
2021-01-06,2021-01-07,Customer_932,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,213.75,5,0.05,74.1
2021-01-06,2021-01-08,Customer_351,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Instant Noodles Pack,105.0,7,0.0,26.04
2021-01-06,2021-01-08,Customer_630,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Dark Chocolate Bar,432.0,6,0.1,89.02
2021-01-06,2021-01-07,Customer_994,Consumer,United States,Sample City,Sample State,South,Household,Household,Floor Cleaner 1L,224.0,2,0.2,54.4
2021-01-06,2021-01-07,Customer_290,Consumer,United States,Sample City,Sample State,Central,Beverages,Beverages,Mineral Water 1L,60.0,3,0.0,9.56
2021-01-06,2021-01-08,Customer_655,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Herbal Shampoo 180ml,114.0,1,0.05,23.84
2021-01-06,2021-01-09,Customer_863,Consumer,United States,Sample City,Sample State,Central,Household,Household,Dish Wash Liquid 500ml,440.0,5,0.2,102.05
2021-01-06,2021-01-09,Customer_332,Consumer,United States,Sample City,Sample State,South,Snacks,Snacks,Instant Noodles Pack,36.0,3,0.2,4.28
2021-01-06,2021-01-09,Customer_755,Home Office,United States,Sample City,Sample State,South,Household,Household,Floor Cleaner 1L,140.0,1,0.0,38.39
2021-01-06,2021-01-07,Customer_107,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Herbal Shampoo 180ml,912.0,8,0.05,195.09
2021-01-06,2021-01-07,Customer_140,Home Office,United States,Sample City,Sample State,West,Personal Care,Personal Care,Hand Sanitizer 100ml,380.0,8,0.05,59.79
2021-01-06,2021-01-07,Customer_831,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,85.0,1,0.0,15.08
2021-01-07,2021-01-08,Customer_914,Consumer,United States,Sample City,Sample State,South,Household,Household,Floor Cleaner 1L,798.0,6,0.05,162.92
2021-01-07,2021-01-08,Customer_104,Home Office,United States,Sample City,Sample State,East,Snacks,Snacks,Classic Namkeen 200g,304.0,8,0.05,96.22
2021-01-07,2021-01-10,Customer_276,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Green Tea Box,900.0,6,0.0,198.08
2021-01-07,2021-01-08,Customer_560,Consumer,United States,Sample City,Sample State,East,Beverages,Beverages,Cola 750ml,384.75,9,0.05,118.23
2021-01-07,2021-01-10,Customer_617,Consumer,United States,Sample City,Sample State,Central,Snacks,Snacks,Classic Namkeen 200g,108.0,3,0.1,18.18
2021-01-07,2021-01-10,Customer_664,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Cola 750ml,213.75,5,0.05,70.17
2021-01-07,2021-01-08,Customer_977,Consumer,United States,Sample City,Sample State,East,Personal Care,Personal Care,Face Wash 100ml,285.0,3,0.0,45.68
2021-01-07,2021-01-09,Customer_447,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Dark Chocolate Bar,304.0,4,0.05,97.14
2021-01-07,2021-01-10,Customer_405,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Green Tea Box,285.0,2,0.05,83.53
2021-01-07,2021-01-08,Customer_500,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,403.75,5,0.05,128.86
2021-01-07,2021-01-10,Customer_534,Home Office,United States,Sample City,Sample State,South,Household,Household,Laundry Detergent 1kg,1050.0,5,0.0,272.83
2021-01-07,2021-01-09,Customer_897,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,161.5,2,0.05,40.7
2021-01-07,2021-01-08,Customer_434,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Toothpaste 150g,120.0,2,0.2,28.42
2021-01-07,2021-01-09,Customer_283,Consumer,United States,Sample City,Sample State,East,Beverages,Beverages,Mineral Water 1L,60.0,3,0.0,20.24
2021-01-07,2021-01-09,Customer_152,Corporate,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Face Wash 100ml,304.0,4,0.2,33.89
2021-01-07,2021-01-10,Customer_947,Home Office,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,297.0,3,0.1,39.27
2021-01-07,2021-01-08,Customer_294,Home Office,United States,Sample City,Sample State,East,Personal Care,Personal Care,Toothpaste 150g,480.0,8,0.2,69.83
2021-01-08,2021-01-10,Customer_703,Corporate,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,297.0,3,0.1,90.72
2021-01-08,2021-01-09,Customer_623,Corporate,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,522.5,5,0.05,68.01
2021-01-08,2021-01-11,Customer_172,Corporate,United States,Sample City,Sample State,East,Household,Household,Floor Cleaner 1L,133.0,1,0.05,24.28
2021-01-08,2021-01-10,Customer_206,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Herbal Shampoo 180ml,1026.0,9,0.05,123.57
2021-01-08,2021-01-11,Customer_352,Home Office,United States,Sample City,Sample State,Central,Household,Household,Dish Wash Liquid 500ml,440.0,4,0.0,53.3
2021-01-08,2021-01-11,Customer_177,Corporate,United States,Sample City,Sample State,South,Household,Household,Laundry Detergent 1kg,1596.0,8,0.05,253.81
2021-01-08,2021-01-11,Customer_849,Home Office,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,792.0,8,0.1,220.44
2021-01-08,2021-01-11,Customer_114,Consumer,United States,Sample City,Sample State,West,Household,Household,Laundry Detergent 1kg,399.0,2,0.05,75.23
2021-01-08,2021-01-10,Customer_573,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Mineral Water 1L,140.0,7,0.0,43.42
2021-01-08,2021-01-10,Customer_166,Consumer,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Hand Sanitizer 100ml,50.0,1,0.0,12.42
2021-01-08,2021-01-11,Customer_875,Consumer,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,396.0,4,0.1,112.55
2021-01-08,2021-01-10,Customer_419,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Hand Sanitizer 100ml,450.0,9,0.0,85.85
2021-01-08,2021-01-09,Customer_761,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Toothpaste 150g,450.0,6,0.0,150.04
2021-01-08,2021-01-11,Customer_545,Corporate,United States,Sample City,Sample State,East,Beverages,Beverages,Mango Juice 1L,476.0,7,0.2,66.72
2021-01-08,2021-01-11,Customer_342,Home Office,United States,Sample City,Sample State,South,Household,Household,Floor Cleaner 1L,1008.0,8,0.1,313.06
2021-01-08,2021-01-10,Customer_567,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Green Tea Box,480.0,4,0.2,61.44
2021-01-08,2021-01-10,Customer_673,Consumer,United States,Sample City,Sample State,South,Snacks,Snacks,Instant Noodles Pack,85.5,6,0.05,14.06
2021-01-08,2021-01-09,Customer_425,Corporate,United States,Sample City,Sample State,South,Snacks,Snacks,Classic Namkeen 200g,304.0,8,0.05,51.68
2021-01-08,2021-01-09,Customer_239,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,204.0,3,0.2,46.29
2021-01-08,2021-01-11,Customer_967,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Masala Chips 50g,120.0,6,0.0,27.18
2021-01-08,2021-01-10,Customer_360,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Toothpaste 150g,71.25,1,0.05,13.12
2021-01-08,2021-01-09,Customer_418,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Face Wash 100ml,190.0,2,0.0,51.52
2021-01-09,2021-01-11,Customer_194,Consumer,United States,Sample City,Sample State,Central,Snacks,Snacks,Masala Chips 50g,152.0,8,0.05,30.85
2021-01-09,2021-01-12,Customer_236,Corporate,United States,Sample City,Sample State,East,Beverages,Beverages,Cola 750ml,85.5,2,0.05,28.49
2021-01-09,2021-01-11,Customer_671,Consumer,United States,Sample City,Sample State,South,Personal Care,Personal Care,Hand Sanitizer 100ml,150.0,3,0.0,42.79
2021-01-09,2021-01-11,Customer_390,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Green Tea Box,1350.0,9,0.0,203.05
2021-01-09,2021-01-11,Customer_231,Consumer,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,121.5,3,0.1,31.4
2021-01-09,2021-01-12,Customer_715,Corporate,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,940.5,9,0.05,286.05
2021-01-09,2021-01-12,Customer_764,Consumer,United States,Sample City,Sample State,Central,Snacks,Snacks,Dark Chocolate Bar,480.0,6,0.0,137.71
2021-01-09,2021-01-12,Customer_138,Home Office,United States,Sample City,Sample State,South,Snacks,Snacks,Masala Chips 50g,133.0,7,0.05,31.37
2021-01-09,2021-01-11,Customer_547,Home Office,United States,Sample City,Sample State,East,Beverages,Beverages,Mango Juice 1L,229.5,3,0.1,64.87
2021-01-09,2021-01-12,Customer_519,Consumer,United States,Sample City,Sample State,Central,Household,Household,Laundry Detergent 1kg,168.0,1,0.2,47.94
2021-01-09,2021-01-12,Customer_388,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Mango Juice 1L,85.0,1,0.0,13.78
2021-01-09,2021-01-11,Customer_964,Corporate,United States,Sample City,Sample State,East,Snacks,Snacks,Instant Noodles Pack,28.5,2,0.05,6.37
2021-01-09,2021-01-12,Customer_256,Consumer,United States,Sample City,Sample State,Central,Beverages,Beverages,Mango Juice 1L,340.0,4,0.0,44.84
2021-01-10,2021-01-13,Customer_391,Corporate,United States,Sample City,Sample State,West,Snacks,Snacks,Instant Noodles Pack,27.0,2,0.1,7.03
2021-01-10,2021-01-12,Customer_971,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Toothpaste 150g,300.0,5,0.2,43.62
2021-01-10,2021-01-13,Customer_495,Corporate,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,535.5,7,0.1,92.1
2021-01-10,2021-01-13,Customer_559,Consumer,United States,Sample City,Sample State,West,Household,Household,Dish Wash Liquid 500ml,220.0,2,0.0,36.08
2021-01-10,2021-01-13,Customer_477,Consumer,United States,Sample City,Sample State,Central,Beverages,Beverages,Green Tea Box,1080.0,8,0.1,149.19
2021-01-10,2021-01-13,Customer_868,Corporate,United States,Sample City,Sample State,South,Beverages,Beverages,Mango Juice 1L,680.0,8,0.0,225.35
2021-01-10,2021-01-11,Customer_930,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,171.0,4,0.05,52.9
2021-01-10,2021-01-11,Customer_408,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mineral Water 1L,144.0,8,0.1,28.76
2021-01-10,2021-01-13,Customer_674,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Face Wash 100ml,855.0,9,0.0,214.55
2021-01-10,2021-01-13,Customer_517,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Face Wash 100ml,541.5,6,0.05,117.19
2021-01-10,2021-01-13,Customer_279,Corporate,United States,Sample City,Sample State,West,Snacks,Snacks,Masala Chips 50g,57.0,3,0.05,8.21
2021-01-10,2021-01-13,Customer_761,Corporate,United States,Sample City,Sample State,West,Beverages,Beverages,Cola 750ml,45.0,1,0.0,13.28
2021-01-10,2021-01-11,Customer_788,Corporate,United States,Sample City,Sample State,East,Personal Care,Personal Care,Hand Sanitizer 100ml,250.0,5,0.0,36.13
2021-01-10,2021-01-11,Customer_314,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,680.0,8,0.0,118.93
2021-01-10,2021-01-11,Customer_404,Consumer,United States,Sample City,Sample State,West,Personal Care,Personal Care,Toothpaste 150g,213.75,3,0.05,32.34
2021-01-10,2021-01-12,Customer_470,Home Office,United States,Sample City,Sample State,East,Household,Household,Dish Wash Liquid 500ml,792.0,8,0.1,92.21
2021-01-10,2021-01-12,Customer_777,Home Office,United States,Sample City,Sample State,East,Snacks,Snacks,Classic Namkeen 200g,192.0,6,0.2,42.29
2021-01-10,2021-01-13,Customer_742,Corporate,United States,Sample City,Sample State,West,Household,Household,Laundry Detergent 1kg,168.0,1,0.2,52.99
2021-01-10,2021-01-13,Customer_575,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Face Wash 100ml,152.0,2,0.2,45.63
2021-01-11,2021-01-14,Customer_542,Home Office,United States,Sample City,Sample State,West,Household,Household,Dish Wash Liquid 500ml,110.0,1,0.0,17.1
2021-01-11,2021-01-14,Customer_150,Consumer,United States,Sample City,Sample State,West,Household,Household,Dish Wash Liquid 500ml,660.0,6,0.0,197.99
2021-01-11,2021-01-13,Customer_387,Corporate,United States,Sample City,Sample State,South,Personal Care,Personal Care,Hand Sanitizer 100ml,380.0,8,0.05,114.5
2021-01-11,2021-01-12,Customer_834,Home Office,United States,Sample City,Sample State,West,Personal Care,Personal Care,Toothpaste 150g,240.0,4,0.2,64.09
2021-01-11,2021-01-14,Customer_723,Consumer,United States,Sample City,Sample State,South,Snacks,Snacks,Classic Namkeen 200g,280.0,7,0.0,42.55
2021-01-11,2021-01-12,Customer_622,Corporate,United States,Sample City,Sample State,West,Snacks,Snacks,Dark Chocolate Bar,152.0,2,0.05,49.8
2021-01-11,2021-01-12,Customer_904,Corporate,United States,Sample City,Sample State,East,Household,Household,Laundry Detergent 1kg,567.0,3,0.1,61.55
2021-01-11,2021-01-13,Customer_953,Consumer,United States,Sample City,Sample State,Central,Household,Household,Floor Cleaner 1L,280.0,2,0.0,48.61
2021-01-11,2021-01-12,Customer_981,Home Office,United States,Sample City,Sample State,East,Personal Care,Personal Care,Face Wash 100ml,684.0,8,0.1,221.37
2021-01-11,2021-01-12,Customer_458,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Masala Chips 50g,144.0,9,0.2,39.56
2021-01-11,2021-01-12,Customer_709,Home Office,United States,Sample City,Sample State,East,Beverages,Beverages,Mango Juice 1L,323.0,4,0.05,74.75
2021-01-12,2021-01-13,Customer_133,Consumer,United States,Sample City,Sample State,East,Personal Care,Personal Care,Toothpaste 150g,120.0,2,0.2,15.53
2021-01-12,2021-01-13,Customer_973,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Cola 750ml,256.5,6,0.05,71.83
2021-01-12,2021-01-14,Customer_367,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Cola 750ml,364.5,9,0.1,116.08
2021-01-12,2021-01-14,Customer_575,Corporate,United States,Sample City,Sample State,Central,Personal Care,Personal Care,Herbal Shampoo 180ml,798.0,7,0.05,262.23
2021-01-12,2021-01-13,Customer_918,Consumer,United States,Sample City,Sample State,East,Personal Care,Personal Care,Face Wash 100ml,152.0,2,0.2,51.63
2021-01-12,2021-01-13,Customer_286,Home Office,United States,Sample City,Sample State,South,Snacks,Snacks,Instant Noodles Pack,67.5,5,0.1,11.62
2021-01-12,2021-01-14,Customer_505,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Green Tea Box,855.0,6,0.05,170.28
2021-01-12,2021-01-15,Customer_343,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Green Tea Box,540.0,4,0.1,89.41
2021-01-12,2021-01-13,Customer_172,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Masala Chips 50g,40.0,2,0.0,11.71
2021-01-13,2021-01-15,Customer_124,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Masala Chips 50g,180.0,9,0.0,48.98
